lilexouj;13;13
gaiquiew;427;177
raekohlu;362;112
giuhamoo;40;40
ifoyeeth;2;2
tiatoogo;389;139
jareihee;7;7
fioweisu;27;27
asiahera;302;52
neemozai;636;136
taosheep;23;23
yebeeque;232;232
zilohpue;262;12
iezorezi;250;0
puushiuy;5;5
jaiwuecu;26;26
yeghogux;514;14
culuohee;321;71
nukohbie;9;9
eimuiwak;37;37
zopainof;538;38
zothohga;15;15
lahwuphu;503;3
ierihaex;272;22
feurohnu;52;52
keihiepi;338;88
veufiefa;69;69
oheupouk;285;35
lohboiba;694;194
fiefuquo;42;42
yuroogoh;14;14
iiwahtoh;287;37
phohciug;412;162
isaewoif;332;82
ipahchow;54;54
ahbiahep;729;229
oociokop;141;141
sholowog;12;12
zohenaej;290;40
puweekeg;5;5
mathoota;18;18
eephaayu;776;26
voazaemi;331;81
ahkoupuu;0;0
ouraicob;545;45
tebiesai;97;97
uruobeef;269;19
weevushe;509;9
cooseicu;21;21
kofiecou;500;0
ichogiej;967;217
vaxohkav;20;20
gadoipah;267;17
aesuvaif;244;244
iquezeac;163;163
ceevayoh;8;8
peaneigo;56;56
iekoitoo;182;182
apheesuc;301;51
phugheaj;11;11
rahdiufa;667;167
ciyeivik;12;12
quaeheom;940;190
yuneeduy;766;16
izieyahb;34;34
anguinea;352;102
yaxeehij;9;9
uutoabib;331;81
uicoheel;4;4
sohxivou;266;16
fungojoh;62;62
ehainoch;0;0
charuuba;2;2
ekiedutu;465;215
uojivael;251;1
yohyahsa;114;114
weipahof;255;5
tuquaine;253;3
fiahahva;479;229
araigaen;67;67
ijoodiel;138;138
tietoqua;65;65
ohnuubuk;233;233
thoodiox;253;3
thiejoxi;480;230
umaixeel;39;39
ohpouzua;11;11
okaphiek;273;23
xuceibei;278;28
edeehuux;242;242
theciesu;500;0
okieyees;3;3
mamudaes;15;15
bohneegu;910;160
ezuciere;265;15
nakoyuaf;9;9
vionooph;67;67
ivokohte;314;64
upouchoi;87;87
quumoona;369;119
junguona;21;21
wuenatae;15;15
chufeibu;273;23
agoloama;19;19
hesohdai;4;4
dogaheer;885;135
ilahjeub;451;201
usufavoh;5;5
eohiekop;695;195
iobeegaf;292;42
avahoufe;85;85
uiceivai;992;242
ucooxaej;37;37
joanahpu;16;16
unuoxaef;13;13
jovephai;18;18
uniiphah;309;59
uiwaizuk;36;36
axihahla;303;53
onohheuk;252;2
ceeforei;183;183
naepuiso;25;25
ahphiemo;68;68
wocezaar;12;12
ooxeyour;129;129
wuipeina;293;43
meexaeto;507;7
ahfeitoa;388;138
idutheax;57;57
reeleero;971;221
looyeelu;29;29
ooneoyea;144;144
felaewoh;764;14
etieluul;39;39
ajooyaeh;304;54
chaimaha;81;81
shinouku;503;3
pasoniep;25;25
duethoth;118;118
kiezaota;519;19
otodaemo;254;4
udiojach;253;3
kuhidaic;9;9
zauheixe;58;58
biphoexi;45;45
ainiomuh;501;1
phavaebe;257;7
eekimais;33;33
guixeena;287;37
geengoek;347;97
uoruwish;45;45
loumahgi;11;11
echaikiu;25;25
acaijuux;561;61
boowonee;0;0
xayuahil;773;23
uepejaem;33;33
oofoetun;264;14
behoapho;520;20
mesoonai;26;26
azeiyuul;192;192
ohhoqueu;141;141
ahisiohi;9;9
ibaesece;20;20
oacaikaz;104;104
zehiukie;188;188
neequoem;1;1
xuahuang;575;75
aitenaet;253;3
pahhawip;434;184
ahngafoe;248;248
liateifo;305;55
ooneyize;251;1
zijoxaic;3;3
ovanaeph;383;133
shailaki;282;32
vaquaico;5;5
oojechuo;25;25
jaepoihu;463;213
bicheiko;36;36
vataewae;5;5
aonohmez;30;30
avixohuf;261;11
paeyuatu;8;8
kaxiesai;4;4
hisearas;260;10
auliinae;228;228
aixaijaw;258;8
osoocieb;322;72
ugoodaso;5;5
laizovoh;151;151
phepoaph;6;6
miarainu;485;235
foeyughu;863;113
eichezov;4;4
feefeoxi;476;226
suiwohse;15;15
utiesoad;507;7
lucephei;391;141
muixohde;501;1
vofahmoo;505;5
wayiozuh;18;18
atohheic;267;17
mahshaad;391;141
yiobeibu;58;58
fashiong;53;53
iangooka;17;17
etuceequ;2;2
veopiuja;21;21
topeeyah;2;2
teneiphi;36;36
jierociy;753;3
aeziusuu;168;168
seraengo;771;21
ainiesou;120;120
ogofimaa;37;37
onohgohz;78;78
cuuwoheb;310;60
liengeca;255;5
ifohwooc;598;98
aethieye;250;0
utuaquuv;29;29
nijalohg;35;35
mequiawu;1;1
huihoish;54;54
riapeeba;934;184
eihepetu;207;207
yiusohph;87;87
govoiyae;12;12
olihotoe;47;47
buquayah;7;7
wapoesei;21;21
mirohbuo;4;4
bupieghi;28;28
eevasuhu;11;11
voofeeti;3;3
reviemiv;6;6
muipoodu;185;185
eehumuke;370;120
ihaizoph;236;236
seiwaelu;943;193
foozoawo;750;0
taicoiti;550;50
lienaihi;634;134
aepiedor;101;101
ahyonauz;90;90
bogoomai;4;4
thahduci;48;48
ukeulaeg;377;127
xaireoma;172;172
juxuchie;17;17
exahrein;15;15
iephahzo;13;13
galoopia;527;27
ieziitek;4;4
opeetaot;171;171
yetahbee;30;30
ohjahcit;209;209
eeloewof;479;229
oitheral;762;12
rihoshet;2;2
oogoliod;266;16
jouwaria;580;80
emievoux;284;34
zietohce;629;129
eishorux;278;28
efezinai;250;0
xoojoavo;438;188
roekevee;314;64
iifaeled;148;148
ithiumie;239;239
ubudieci;431;181
giebeamu;46;46
deedingi;452;202
iexiofuy;255;5
eexiveef;171;171
dashooph;19;19
eumeedor;10;10
resietib;529;29
aenaeboi;588;88
kajuazam;14;14
goejahje;256;6
hueziesh;948;198
faemieru;67;67
reraipiu;271;21
joojehud;146;146
suthosuz;285;35
pedeetaa;264;14
hahcaede;269;19
hureezah;12;12
rizaeruk;264;14
adicooho;89;89
quuughug;10;10
oyeuwief;297;47
hoetheet;53;53
eiteivub;636;136
cezohvoo;13;13
puonoong;407;157
moijaedu;31;31
xughohju;5;5
yaokause;331;81
homiefuu;774;24
jukenael;752;2
yugeiyiw;269;19
foriruur;3;3
vifahyae;3;3
jaoquodi;35;35
coifibio;29;29
eipokuye;182;182
xewaerag;260;10
axoowati;7;7
ietualio;132;132
upaireip;518;18
nucahthi;607;107
aasuudai;186;186
fieraela;250;0
aiviebuu;8;8
baegohza;916;166
kieviido;5;5
eiyeuvuo;830;80
irugaevi;2;2
apaabeeh;78;78
rofetugi;2;2
jaareusi;817;67
seteirao;30;30
auneiyao;59;59
uhieduge;549;49
aeyaujie;0;0
churuvoo;2;2
eliifieh;308;58
ohgotoud;179;179
uayeewia;12;12
bequuphe;1;1
ozeiphir;85;85
vemowooh;772;22
loazicei;368;118
sohmepue;53;53
ohtivies;10;10
noibeelo;195;195
aebemiuf;457;207
guefaiki;436;186
aejeorag;99;99
epieteew;314;64
hechoyah;626;126
faisioli;224;224
upahveen;224;224
aibokuxa;476;226
ahvahkov;0;0
zuipohke;206;206
odaixeej;402;152
yeinujie;501;1
atomashe;251;1
olafaloh;495;245
waoyovue;9;9
esushood;4;4
beifaevu;96;96
yiefiili;163;163
ohziwahr;0;0
ohwoseiw;273;23
seroopad;5;5
eguasahy;279;29
chaefone;354;104
laphadia;32;32
bayishei;2;2
aguqueew;32;32
cheradai;7;7
caquagiw;504;4
omohoofa;300;50
eongekos;19;19
kiebaema;975;225
kuniitha;4;4
evaeyeis;487;237
pietewie;1;1
haneidet;281;31
viechafi;683;183
quivaipa;508;8
shoefidu;767;17
wohtonee;504;4
nojaighi;753;3
ouxuedee;52;52
keejahyo;279;29
haerozou;358;108
xasohxoo;19;19
akahxoja;22;22
oitiohet;7;7
uciiphib;451;201
iefetegh;102;102
quopufem;6;6
soasafee;818;68
kuowohde;40;40
exeithok;254;4
uusairui;26;26
vuizuvew;250;0
ahmering;172;172
phaotago;504;4
mohsheap;254;4
ojahbahh;493;243
iukairai;305;55
aixofahg;1;1
liigieju;2;2
oacawier;750;0
ofeileuz;255;5
ifomeeyi;0;0
reesakes;11;11
uugeiriv;239;239
teeyouke;537;37
zadiezee;555;55
iochixur;270;20
uenuofoo;779;29
eetayeix;555;55
ohxezahv;0;0
sahquevu;501;1
ageasahr;599;99
leoyeiyo;66;66
touwooje;61;61
ikochigh;36;36
iengouko;505;5
ruthungu;4;4
uequiebe;0;0
oozaetoz;173;173
gikeighe;753;3
heihabei;501;1
piefohoo;319;69
chahyijo;795;45
aimuwezo;135;135
ewoshaph;296;46
fahwuoxu;526;26
euxiezon;19;19
auyahcib;9;9
xohkehof;127;127
oomeceis;243;243
uyouwahm;157;157
lahkobug;279;29
dohhebai;222;222
yoenaofi;3;3
ohsiseom;25;25
wupughae;281;31
uwaikeme;495;245
oovanozo;311;61
ohahsohg;16;16
gebahdiv;187;187
aequuvay;14;14
rashaoba;4;4
niraicej;25;25
cooghudi;926;176
muqueelu;12;12
xiecoiju;75;75
oojietep;256;6
ereixohl;35;35
niavooku;11;11
awoameef;300;50
oyarahor;143;143
jeipimae;96;96
iveosael;207;207
oigeilup;250;0
ahwodeil;172;172
uroreigo;102;102
nahdacoo;363;113
uhahbaez;206;206
dugethoh;251;1
uomeleth;755;5
thailoni;254;4
hohneejo;62;62
einguruj;137;137
xieruush;501;1
ephiijua;326;76
dahhiezi;68;68
apoficei;300;50
shobaika;164;164
dioraezo;57;57
aeyaisir;264;14
queezuur;396;146
eerosieg;5;5
adoxaeje;277;27
iemuvaih;146;146
uohoonub;24;24
heuphoor;571;71
ophebahv;311;61
iipootis;281;31
ighitooj;155;155
aediefem;27;27
isiviemo;9;9
kookoudo;31;31
wiangoyu;442;192
youphudu;305;55
poshaeri;23;23
eeyabuph;166;166
poropais;15;15
loiweile;327;77
eoquiqua;7;7
geiriehe;1;1
diuthoaw;42;42
equoopha;208;208
weadaeyu;0;0
ipaveebi;250;0
quiuxexi;250;0
ailuojae;253;3
heilexaa;0;0
ohzipeen;289;39
ahgaekox;368;118
aefiveji;59;59
eicegiep;361;111
eetexohn;12;12
foyaocha;19;19
aivaguqu;289;39
saenietu;260;10
ruagoech;580;80
vahzisub;232;232
moniehie;6;6
phuaseik;481;231
axeyeige;260;10
ahvichak;250;0
utaoshoo;23;23
seezoziv;525;25
kienuigu;18;18
eiringec;4;4
jazoidai;270;20
igohheez;268;18
hiebawoo;38;38
evuagoah;23;23
ogaiyaed;769;19
tejeikee;6;6
wudaethi;393;143
daekotah;659;159
waimahlu;367;117
ojiyahpo;46;46
aelukaep;235;235
hamoexao;1;1
veezeyae;941;191
ethiuloh;563;63
eashelak;757;7
iebosuey;967;217
iheofaer;574;74
ookiicer;271;21
oexuujia;43;43
veyeidei;9;9
sohruowe;503;3
nesaoroo;6;6
ciukaiki;325;75
xogezaiw;2;2
ufaizuth;140;140
aofoowea;765;15
owaiphoj;143;143
ithughud;256;6
ungoomah;426;176
exuujaig;292;42
boedaita;350;100
emoojeiw;16;16
iewedaku;9;9
papahdei;283;33
obaiveaj;250;0
anaecifo;210;210
okumeing;285;35
poethian;206;206
ohtahbig;344;94
xeefauyi;163;163
ofeetith;144;144
airahmaj;30;30
pepiuxae;13;13
zahxugha;382;132
dosahkoo;272;22
aipahota;149;149
hahzaezo;0;0
amegoado;155;155
aemixeew;146;146
zoagaijo;108;108
eepiatek;5;5
oequatoo;16;16
xaxaicaw;8;8
caizaefi;302;52
ewahgaiy;166;166
jihiehei;522;22
aokiepou;0;0
thuetexe;254;4
shixeali;1;1
coeshoim;598;98
zelaikah;7;7
paepueya;750;0
zezeiwii;20;20
aetaicax;8;8
sahbeboi;315;65
miohooye;288;38
uivahwob;28;28
cateipea;24;24
eesutaez;141;141
jizoosai;0;0
wiepaina;446;196
bietajah;245;245
koshiete;539;39
eavuoroo;42;42
cumeeroh;256;6
quosenux;14;14
paikahri;238;238
udeineid;28;28
ficohlae;520;20
iuzohbaz;23;23
eimechug;709;209
eemohxuo;2;2
ionuejak;8;8
eshosuyu;296;46
ajaighof;198;198
bookotah;270;20
baireboh;467;217
ikailohy;346;96
auxaxina;35;35
mungahbu;522;22
xegahlei;513;13
acoongah;28;28
uikaegiw;801;51
ayiekahp;158;158
coetohga;1;1
xahsaiva;99;99
keewibau;5;5
hoosidei;144;144
ehaijeiv;532;32
ohwuxahh;4;4
tauboigh;833;83
toemaeze;325;75
zemiloor;523;23
roipinoo;33;33
eiraphoc;280;30
laepausi;64;64
epahjiuf;140;140
sicohboo;507;7
oopukeca;118;118
tusaisei;273;23
afioyaht;58;58
ahhujayo;248;248
bawiufei;9;9
kohtahmo;0;0
meewabuw;950;200
suafoega;655;155
hixeinua;259;9
doocieri;59;59
reihaoni;183;183
lujarole;5;5
uloamaes;186;186
tucaivid;93;93
eghidoom;13;13
ievoyoch;151;151
aepuumom;268;18
oshainar;383;133
obahhiep;0;0
fogohtae;24;24
ixangohx;65;65
taeviako;512;12
latohjax;28;28
vohmeeme;251;1
uvooteor;303;53
saeyikoo;0;0
kovuowoh;16;16
huuneegh;21;21
oogaikus;305;55
eushiufi;73;73
cuotailo;8;8
inioghok;291;41
neethoit;263;13
ceisaeki;1;1
douquoak;43;43
kofeusei;313;63
ohxeecip;296;46
eileshuz;481;231
izaubieg;418;168
gaepahju;6;6
thedaika;257;7
yochatoh;831;81
uvaixiem;161;161
hoadohwe;622;122
cheathis;542;42
tajounge;18;18
eisohset;2;2
eatoowud;6;6
iwievife;365;115
aikohior;251;1
ualoneek;25;25
oibeefen;27;27
ahtokaef;230;230
elohceur;5;5
osietoox;10;10
ootusohm;221;221
rixiuyei;14;14
iuhowoon;50;50
eothahxi;307;57
geuroohi;85;85
buehoyuu;996;246
saozuath;39;39
ailierap;24;24
sajeecoh;261;11
phahsuri;81;81
hielagur;250;0
shaevaeg;1;1
dequewia;267;17
nueghahy;312;62
keijaric;4;4
euchishe;192;192
feijithu;78;78
ruejahsu;319;69
zazikeib;1;1
xivekaed;10;10
dicohcak;949;199
nucaizuk;0;0
inejaich;263;13
ejugeech;9;9
uwaiqual;0;0
goobejae;61;61
ciodeeva;40;40
ukohveiz;40;40
iesoajai;251;1
igoozeer;267;17
ioziajee;4;4
eigeeseg;390;140
fooxuchu;11;11
ixiloiqu;264;14
yuubaise;1;1
nishaaye;15;15
ahkosoja;304;54
iexezugh;29;29
keajiexe;59;59
iamiushu;767;17
shedoola;504;4
dewagipo;5;5
cieceifa;159;159
oraefeit;126;126
elahwuah;262;12
zeihiepe;299;49
wequuima;0;0
mohgiumi;436;186
taghaisa;765;15
wophueco;23;23
jeesaimu;7;7
aseheiku;373;123
aleamohs;184;184
ookohtei;7;7
icicahra;28;28
aizeizeo;142;142
coozasho;14;14
ionooroh;295;45
shifeovi;42;42
utomaehe;344;94
weilooga;54;54
eewucahf;259;9
zuquofut;5;5
uomughie;5;5
orooghax;283;33
viemocuu;6;6
yokohngi;12;12
zixasaag;271;21
uzezieja;251;1
quohkoes;932;182
itoquuap;580;80
emuecaih;285;35
kaupiare;24;24
niexiwai;503;3
phouhupo;788;38
eiyimohy;23;23
paehuuxi;26;26
isoodouf;316;66
zofaemoa;9;9
eewifaiz;71;71
guushuic;20;20
geiceesa;280;30
ibeiziaj;763;13
zuumeiho;81;81
aoxojahc;7;7
kiekeufa;5;5
iikeephe;258;8
aifefuus;103;103
pholoomi;2;2
vaemoudu;656;156
wobufohv;925;175
eidiebam;362;112
ohfogafi;605;105
ohbuvomi;751;1
imahusho;227;227
choqualo;500;0
juisamee;179;179
tohngial;930;180
bujojiad;5;5
zievohsi;9;9
tifiehoz;259;9
thecheiz;0;0
ufowitha;290;40
wothaloz;5;5
ocomouto;212;212
eiwayaav;306;56
ayobauka;287;37
aisaibow;289;39
pequieja;264;14
eezoebok;221;221
roopijis;93;93
yeekumie;375;125
uereifal;25;25
uurioruv;295;45
odiinahm;32;32
eithoyok;20;20
wiuyaihi;23;23
sheuciey;532;32
niedeaph;251;1
eevohaer;318;68
rauzahgi;64;64
yivechoh;18;18
ecahkora;307;57
uotiejua;313;63
azohpugh;316;66
maemohri;445;195
motooraz;17;17
yaisiwau;720;220
ietuipao;252;2
haeseefu;254;4
baoberiu;25;25
deetiati;255;5
nopiengi;6;6
ceigeuhu;542;42
eeveeyew;501;1
keetagaf;510;10
ohpaphac;807;57
oolujeif;166;166
loozaemo;252;2
omezuwai;188;188
fuxaijoh;251;1
daizaeli;210;210
simuthee;16;16
afuokeih;1;1
ooreebod;105;105
oohiyonu;104;104
quaogiah;20;20
oecohche;150;150
siadeivo;203;203
quiasimo;7;7
eiwefoqu;14;14
lecuovoz;151;151
iwiiveah;0;0
iejaipuh;64;64
uesaphoj;795;45
oupiciwo;752;2
lupoxiel;270;20
yasareij;3;3
wohsaipu;42;42
awaeminu;197;197
oupuzuph;2;2
ahooyigh;46;46
chofujua;166;166
jikaijai;19;19
raatayah;346;96
bihaxooc;7;7
rophewuk;16;16
tahnohie;3;3
thooyedo;252;2
eicoukiv;507;7
soosojah;150;150
eegadiha;87;87
tugaehay;253;3
ieropeic;6;6
otaihiep;16;16
thohvahz;32;32
easahbea;903;153
tootaovi;244;244
uluveeto;271;21
ashiexuz;69;69
